arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 729.1467            posicao x: 115.99985            posicao y: 719.8604


sustentacao: 0.093061864            sustentacao x: 0.0            sustentacao y: -0.093061864
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 729.2265            posicao x: 115.99997            posicao y: 719.94116


sustentacao: 0.09313276            sustentacao x: 0.0            sustentacao y: -0.09313276
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 729.3129            posicao x: 115.99999            posicao y: 720.0287


sustentacao: 0.093210064            sustentacao x: 0.0            sustentacao y: -0.093210064
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 729.3073            posicao x: 115.99999            posicao y: 720.0231


sustentacao: 0.09330336            sustentacao x: 0.0            sustentacao y: -0.09330336
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 729.20966            posicao x: 115.999954            posicao y: 719.92413


sustentacao: 0.093397            sustentacao x: 0.0            sustentacao y: -0.093397
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 729.11847            posicao x: 115.99979            posicao y: 719.8318


sustentacao: 0.0935089            sustentacao x: 0.0            sustentacao y: -0.0935089
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 729.0336            posicao x: 115.99951            posicao y: 719.7459


sustentacao: 0.093618795            sustentacao x: 0.0            sustentacao y: -0.093618795
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.95514            posicao x: 115.99916            posicao y: 719.66644


sustentacao: 0.0937233            sustentacao x: 0.0            sustentacao y: -0.0937233
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.8828            posicao x: 115.99875            posicao y: 719.59326


sustentacao: 0.093830585            sustentacao x: 0.0            sustentacao y: -0.093830585
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.8166            posicao x: 115.9983            posicao y: 719.52625


sustentacao: 0.09392465            sustentacao x: 0.0            sustentacao y: -0.09392465
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.7563            posicao x: 115.99783            posicao y: 719.4653


sustentacao: 0.09402449            sustentacao x: 0.0            sustentacao y: -0.09402449
peso: 0.1            peso x: 0.0            peso y: 0.1
arrasto: 0.0            arrasto x: 0.0            arrasto y: 0.0
posicao: 728.702            posicao x: 115.99737            posicao y: 719.41034


sustentacao: 0.0941103            sustentacao x: 0.0            sustentacao y: -0.0941103
